Subjects,A1_inter,A2_bor,A3_useful,A4_useless
Agricultural Science,Interesting,Boring,Useful,Useless
Arts,Engaging,Dull,Practical,Ineffective
Humanities,Stimulating,Monotonous,Beneficial,Futile
Biology,Fascinating,Tedious,Valuable,Pointless
Biochemistry,Thought-provoking,Mundane,Applicable,Unhelpful
Chemistry,Intriguing,Uninspiring,Effective,Impractical
Clinical Medicine,Compelling,Stale,Advantageous,Unproductive
Computer Science,Captivating,Dry,Helpful,Worthless
Economics,Enlightening,Repetitive,Insightful,Meaningless
Business,Absorbing,Unengaging,Productive,Unavailing
Engineering,Exciting,Unexciting,Constructive,Counterproductive
Ecology,,,,
Geoscience,,,,
History,,,,
Archaeology,,,,
Literature,,,,
Materials Science,,,,
Mathematics,,,,
Philosophy,,,,
Religion,,,,
Physics,,,,
Plant Science,,,,
Animal Science,,,,
Psychiatry,,,,
Psychology,,,,
Social Science,,,,
Performing Arts,,,,
